"Jobs","Unemp","IncDiff","OldAge","House","Health","Scale","Stock","Flow","ChangeFlow","main_IV_as_control","mlm_any","hybrid_mlm","level_cyear","level_country","level_year","country_dummies_only","year_dummies_only","year_as_count","ologit","lpm","listwise","multimpute","ols","mlogit","ml_glm","bayes","L2boots","weights","pseudo_pnl","stata","r","mplus","spss","mlwin","categorical","mmodel","unbalpanel","w1985","w1990","w1996","w2006","w2016","AU","AT","BE","BG","CA","CL","HR","CY","CZ","DK","FI","FR","DE","HU","IS","IN","IE","IL","IT","JP","KR","LV","LT","NT","NZ","NO","PH","PL","PT","RU","SK","SI","ES","SE","CH","UK","US","ZA","TW","TR","UY","VE","orig13","orig17","eeurope","allavailable","emigration_ivC","emplrate_ivC","socx_ivC","unemprate_ivC","gdp_ivC","unchange_ivC","poverty_ivC","fbunemprate_ivC","fbunempchange_ivC","fbeducrate_ivC","fbeducratechange_ivC","socxchg_ivC","gdpchange_ivC","ginin_ivC","mcp_ivC","regime_ivC","socialistdummy_ivC","targeting_ivC","socx_programspecific_ivC","conservatism_ivC","decomm_ivC","tradeunion10_ivC","subFB_ivC","socult_ivC","fract_ivC","antiimm_ivC","pop_ivC","age_iv","age2_iv","sex_iv","employed_iv","income_iv","occclass_iv","occstatus_iv","education_iv","married_iv","household_iv","reldenom_iv","relattend_iv","publice_iv","urban_iv","fb_iv","cuts_iv","taxes_iv","upol_iv","leftright_iv","trust_iv","efficacy_iv","fbXnet","netXcons","netXeduc","netXage","netXsex","netXunemp","netXinc","fbXeduc","fbXage","fbXsex","fbXunemp","fbXgini","fbXurban","fbXinc","squared_imm","fractXfb","fbXleftright","anynonlin","id","u_teamid","count","AME","lower","upper","error","z","p","DV","main_IV_type","main_IV_source","main_IV_source_file","main_IV_measurement","main_IV_time","main_IV_effect","package","inv_weight","additionalinfo","Hsupport","Hreject","Hnotest","Hmixed","Hsupport_stock","Hreject_stock","Hnotest_stock","Hsupport_net","Hreject_net","Hnotest_net","AME_Z","lower_Z","upper_Z","Hresult","Hsup","Hrej","Hno","HresultF","AME_sup_p05","AME_sup_p10","countries","iv_type","mator","software","indepv","twowayfe","cluster_any","mlm_re","mlm_fe","logit","dichotomize","dv_type","stat_cat","belief_cat","topic_cat","total_score_cat","BELIEF_HYPOTHESIS","PRO_IMMIGRANT","TOPIC_KNOWLEDGE","STATISTICS_SKILL","MODEL_SCORE"
NA,"Unemp",NA,NA,NA,NA,NA,"Stock",NA,NA,NA,"mlm_any",NA,NA,"level_country","level_year",NA,"year_dummies_only",NA,NA,NA,"listwise",NA,NA,NA,"ml_glm",NA,NA,NA,NA,"stata",NA,NA,NA,NA,NA,NA,"unbalpanel",NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,"CZ","DK","FI","FR","DE","HU",NA,NA,"IE","IL",NA,"JP","KR","LV",NA,"NT","NZ","NO",NA,"PL","PT",NA,NA,"SI","ES","SE","CH","UK","US",NA,NA,NA,NA,NA,NA,NA,"eeurope",NA,NA,NA,"socx_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv","married_iv","household_iv",NA,"relattend_iv","publice_iv","urban_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t31m8",31,361,-0.00534,-0.01997,0.00928,0.01463,-0.71582,0.4741,"Unemp","Stock","various_rowmean","cri_macro.xlsx","Immigrant, foreign-born","current","Total","mixed",48,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,-0.00534,-0.01997,0.00928,"Reject",0,1,0,"Reject",0,0,24,"Stock","ml_glm","Stata","Soc_Spending","No","Yes","Yes","No","No","continuous","Unemp","Highest","Highest","Highest","High","High","High","High","High","Mid"
NA,NA,"IncDiff",NA,NA,NA,NA,"Stock",NA,NA,NA,"mlm_any",NA,NA,"level_country","level_year",NA,"year_dummies_only",NA,NA,NA,"listwise",NA,NA,NA,"ml_glm",NA,NA,NA,NA,"stata",NA,NA,NA,NA,NA,NA,"unbalpanel",NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,"CZ","DK","FI","FR","DE","HU",NA,NA,"IE","IL",NA,"JP","KR","LV",NA,"NT","NZ","NO",NA,"PL","PT",NA,NA,"SI","ES","SE","CH","UK","US",NA,NA,NA,NA,NA,NA,NA,"eeurope",NA,NA,NA,"socx_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv","married_iv","household_iv",NA,"relattend_iv","publice_iv","urban_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t31m9",31,362,-0.00842,-0.02225,0.0054,0.01383,-1.19433,0.23235,"IncDiff","Stock","various_rowmean","cri_macro.xlsx","Immigrant, foreign-born","current","Total","mixed",48,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,-0.00842,-0.02225,0.0054,"Reject",0,1,0,"Reject",0,0,24,"Stock","ml_glm","Stata","Soc_Spending","No","Yes","Yes","No","No","continuous","IncDiff","Highest","Highest","Highest","High","High","High","High","High","Mid"
"Jobs","Unemp","IncDiff","OldAge","House","Health","Scale","Stock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"listwise",NA,"ols",NA,NA,NA,NA,"weights",NA,"stata",NA,NA,NA,NA,NA,NA,"unbalpanel",NA,NA,"w1996","w2006","w2016","AU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FR","DE",NA,NA,NA,NA,NA,NA,"JP",NA,NA,NA,NA,"NZ","NO",NA,NA,NA,NA,NA,NA,"ES","SE","CH","UK","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"socx_ivC","unemprate_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv",NA,NA,NA,"education_iv","married_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t32m1",32,402,0.00808,-0.03134,0.04751,0.03942,0.40179,0.68784,"Scale_6","Stock","UN","team_download","Immigrant, foreign-born","current","Total","reg",1,"We rescaled the latent as welfarestate*0.48 to give it a standard deviation of 0.48 and make it comparable across all other teams' results.",0,0,1,0,NA,NA,NA,NA,NA,NA,0.00808,-0.03134,0.04751,"No test",0,0,1,"No test",0,0,11,"Stock","ols","Stata","Soc_Spending","Yes","Yes","No","No","No","continuous","Scale","High","High","High","High","Mid","High","Mid","Mid","Mid"
"Jobs",NA,NA,NA,NA,NA,NA,"Stock",NA,NA,"main_IV_as_control","mlm_any",NA,NA,"level_country",NA,NA,NA,NA,NA,NA,"listwise",NA,NA,NA,"ml_glm",NA,NA,NA,NA,NA,NA,NA,"spss",NA,NA,NA,NA,NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,NA,NA,NA,"FR","DE",NA,NA,NA,"IE",NA,NA,"JP",NA,NA,NA,NA,"NZ","NO",NA,NA,NA,NA,NA,NA,"ES","SE","CH","UK","US",NA,NA,NA,NA,NA,"orig13",NA,NA,NA,NA,"emplrate_ivC","socx_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t33m1",33,403,-0.0273,-0.05604,0.00143,0.02874,-1.86221,0.06257,"Jobs","Stock",NA,"cri_macro","Immigrant, foreign-born","current","Total","mixed",20,"PI rescaled mignet_un/10 to put it on a 1 out of 100 scale and to make it comparable across all teams' results.

",0,1,0,0,NA,NA,NA,NA,NA,NA,-0.0273,-0.05604,0.00143,"Reject",0,1,0,"Reject",0,1,13,"Stock","ml_glm","SPSS","Soc_Spending","No","No","Yes","No","No","continuous","Jobs","Low","Highest","Low","High","High","High","Mid","Mid","Mid"
"Jobs","Unemp","IncDiff","OldAge",NA,NA,"Scale","Stock",NA,NA,"main_IV_as_control","mlm_any",NA,NA,"level_country",NA,NA,NA,NA,NA,NA,"listwise",NA,NA,NA,"ml_glm",NA,NA,NA,NA,NA,NA,NA,"spss",NA,NA,"mmodel",NA,NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,NA,NA,NA,"FR","DE",NA,NA,NA,"IE",NA,NA,"JP",NA,NA,NA,NA,"NZ","NO",NA,NA,NA,NA,NA,NA,"ES","SE","CH","UK","US",NA,NA,NA,NA,NA,"orig13",NA,NA,NA,NA,NA,"socx_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t33m10",33,412,-0.01936,-0.04021,0.00148,0.02085,-1.81955,0.06883,"Scale_4","Stock",NA,"cri_macro","Immigrant, foreign-born","current","Total","mixed",20,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,-0.01936,-0.04021,0.00148,"Reject",0,1,0,"Reject",0,1,13,"Stock","ml_glm","SPSS","Soc_Spending","No","No","Yes","No","No","continuous","Scale","Low","Highest","Low","High","High","High","Mid","Mid","Mid"
"Jobs",NA,NA,NA,NA,NA,NA,NA,"Flow",NA,"main_IV_as_control","mlm_any",NA,NA,"level_country",NA,NA,NA,NA,NA,NA,"listwise",NA,NA,NA,"ml_glm",NA,NA,NA,NA,NA,NA,NA,"spss",NA,NA,NA,NA,NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,NA,NA,NA,"FR","DE",NA,NA,NA,"IE",NA,NA,"JP",NA,NA,NA,NA,"NZ","NO",NA,NA,NA,NA,NA,NA,"ES","SE","CH","UK","US",NA,NA,NA,NA,NA,"orig13",NA,NA,NA,NA,"emplrate_ivC","socx_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t33m11",33,413,-0.14264,-1.91459,1.6293,1.77195,-0.15778,0.87463,"Jobs","Flow",NA,"cri_macro","Immigrant, foreign-born","1-year","Total","mixed",20,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,-0.0249890278447299,-0.335416032117508,0.285436224533219,"Reject",0,1,0,"Reject",0,0,13,"Flow","ml_glm","SPSS","Soc_Spending","No","No","Yes","No","No","continuous","Jobs","Low","Highest","Low","High","High","High","Mid","Mid","Mid"
NA,"Unemp",NA,NA,NA,NA,NA,NA,"Flow",NA,"main_IV_as_control","mlm_any",NA,NA,"level_country",NA,NA,NA,NA,NA,NA,"listwise",NA,NA,NA,"ml_glm",NA,NA,NA,NA,NA,NA,NA,"spss",NA,NA,NA,NA,NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,NA,NA,NA,"FR","DE",NA,NA,NA,"IE",NA,NA,"JP",NA,NA,NA,NA,"NZ","NO",NA,NA,NA,NA,NA,NA,"ES","SE","CH","UK","US",NA,NA,NA,NA,NA,"orig13",NA,NA,NA,NA,"emplrate_ivC","socx_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t33m12",33,414,-0.69668,-2.153,0.75964,1.45632,-0.93763,0.34843,"Unemp","Flow",NA,"cri_macro","Immigrant, foreign-born","1-year","Total","mixed",20,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,-0.122051008965693,-0.377182956742172,0.133080938810787,"Reject",0,1,0,"Reject",0,0,13,"Flow","ml_glm","SPSS","Soc_Spending","No","No","Yes","No","No","continuous","Unemp","Low","Highest","Low","High","High","High","Mid","Mid","Mid"
NA,NA,"IncDiff",NA,NA,NA,NA,NA,"Flow",NA,"main_IV_as_control","mlm_any",NA,NA,"level_country",NA,NA,NA,NA,NA,NA,"listwise",NA,NA,NA,"ml_glm",NA,NA,NA,NA,NA,NA,NA,"spss",NA,NA,NA,NA,NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,NA,NA,NA,"FR","DE",NA,NA,NA,"IE",NA,NA,"JP",NA,NA,NA,NA,"NZ","NO",NA,NA,NA,NA,NA,NA,"ES","SE","CH","UK","US",NA,NA,NA,NA,NA,"orig13",NA,NA,NA,NA,"emplrate_ivC","socx_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t33m13",33,415,-0.87331,-2.16823,0.42159,1.29492,-1.32186,0.18621,"IncDiff","Flow",NA,"cri_macro","Immigrant, foreign-born","1-year","Total","mixed",20,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,-0.152994727335117,-0.379851092567152,0.0738581341072607,"Reject",0,1,0,"Reject",0,0,13,"Flow","ml_glm","SPSS","Soc_Spending","No","No","Yes","No","No","continuous","IncDiff","Low","Highest","Low","High","High","High","Mid","Mid","Mid"
NA,NA,NA,"OldAge",NA,NA,NA,NA,"Flow",NA,"main_IV_as_control","mlm_any",NA,NA,"level_country",NA,NA,NA,NA,NA,NA,"listwise",NA,NA,NA,"ml_glm",NA,NA,NA,NA,NA,NA,NA,"spss",NA,NA,NA,NA,NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,NA,NA,NA,"FR","DE",NA,NA,NA,"IE",NA,NA,"JP",NA,NA,NA,NA,"NZ","NO",NA,NA,NA,NA,NA,NA,"ES","SE","CH","UK","US",NA,NA,NA,NA,NA,"orig13",NA,NA,NA,NA,"emplrate_ivC","socx_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t33m14",33,416,0.12731,-1.11022,1.36484,1.23753,0.20163,0.84021,"OldAge","Flow",NA,"cri_macro","Immigrant, foreign-born","1-year","Total","mixed",20,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,0.0223033730714565,-0.19449886773539,0.239105613878303,"Reject",0,1,0,"Reject",0,0,13,"Flow","ml_glm","SPSS","Soc_Spending","No","No","Yes","No","No","continuous","OldAge","Low","Highest","Low","High","High","High","Mid","Mid","Mid"
"Jobs","Unemp","IncDiff","OldAge",NA,NA,"Scale",NA,"Flow",NA,"main_IV_as_control","mlm_any",NA,NA,"level_country",NA,NA,NA,NA,NA,NA,"listwise",NA,NA,NA,"ml_glm",NA,NA,NA,NA,NA,NA,NA,"spss",NA,NA,"mmodel",NA,NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,NA,NA,NA,"FR","DE",NA,NA,NA,"IE",NA,NA,"JP",NA,NA,NA,NA,"NZ","NO",NA,NA,NA,NA,NA,NA,"ES","SE","CH","UK","US",NA,NA,NA,NA,NA,"orig13",NA,NA,NA,NA,"emplrate_ivC","socx_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t33m15",33,417,-0.36475,-1.59539,0.86588,1.23064,-0.58093,0.56129,"Scale_4","Flow",NA,"cri_macro","Immigrant, foreign-born","1-year","Total","mixed",20,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,-0.063900363897681,-0.279495549167159,0.151693069476968,"Reject",0,1,0,"Reject",0,0,13,"Flow","ml_glm","SPSS","Soc_Spending","No","No","Yes","No","No","continuous","Scale","Low","Highest","Low","High","High","High","Mid","Mid","Mid"
"Jobs",NA,NA,NA,NA,NA,NA,NA,"Flow",NA,"main_IV_as_control","mlm_any",NA,NA,"level_country",NA,NA,NA,NA,NA,NA,"listwise",NA,NA,NA,"ml_glm",NA,NA,NA,NA,NA,NA,NA,"spss",NA,NA,NA,NA,NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,NA,NA,NA,"FR","DE",NA,NA,NA,"IE",NA,NA,"JP",NA,NA,NA,NA,"NZ","NO",NA,NA,NA,NA,NA,NA,"ES","SE","CH","UK","US",NA,NA,NA,NA,NA,"orig13",NA,NA,NA,NA,NA,"socx_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t33m16",33,418,-0.3514,-1.97624,1.27343,1.62484,-0.42388,0.67165,"Jobs","Flow",NA,"cri_macro","Immigrant, foreign-born","1-year","Total","mixed",20,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,-0.0615615843006034,-0.346216463739967,0.223091543243931,"Reject",0,1,0,"Reject",0,0,13,"Flow","ml_glm","SPSS","Soc_Spending","No","No","Yes","No","No","continuous","Jobs","Low","Highest","Low","High","High","High","Mid","Mid","Mid"
NA,"Unemp",NA,NA,NA,NA,NA,NA,"Flow",NA,"main_IV_as_control","mlm_any",NA,NA,"level_country",NA,NA,NA,NA,NA,NA,"listwise",NA,NA,NA,"ml_glm",NA,NA,NA,NA,NA,NA,NA,"spss",NA,NA,NA,NA,NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,NA,NA,NA,"FR","DE",NA,NA,NA,"IE",NA,NA,"JP",NA,NA,NA,NA,"NZ","NO",NA,NA,NA,NA,NA,NA,"ES","SE","CH","UK","US",NA,NA,NA,NA,NA,"orig13",NA,NA,NA,NA,NA,"socx_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t33m17",33,419,-0.99314,-2.37002,0.38372,1.37688,-1.41376,0.15743,"Unemp","Flow",NA,"cri_macro","Immigrant, foreign-born","1-year","Total","mixed",20,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,-0.173987683074278,-0.415202578327024,0.0672237083888092,"Reject",0,1,0,"Reject",0,0,13,"Flow","ml_glm","SPSS","Soc_Spending","No","No","Yes","No","No","continuous","Unemp","Low","Highest","Low","High","High","High","Mid","Mid","Mid"
NA,NA,"IncDiff",NA,NA,NA,NA,NA,"Flow",NA,"main_IV_as_control","mlm_any",NA,NA,"level_country",NA,NA,NA,NA,NA,NA,"listwise",NA,NA,NA,"ml_glm",NA,NA,NA,NA,NA,NA,NA,"spss",NA,NA,NA,NA,NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,NA,NA,NA,"FR","DE",NA,NA,NA,"IE",NA,NA,"JP",NA,NA,NA,NA,"NZ","NO",NA,NA,NA,NA,NA,NA,"ES","SE","CH","UK","US",NA,NA,NA,NA,NA,"orig13",NA,NA,NA,NA,NA,"socx_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t33m18",33,420,-1.13019,-2.35136,0.09098,1.22117,-1.81396,0.06968,"IncDiff","Flow",NA,"cri_macro","Immigrant, foreign-born","1-year","Total","mixed",20,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,-0.197997401709445,-0.411933542575603,0.0159387391567129,"Reject",0,1,0,"Reject",0,1,13,"Flow","ml_glm","SPSS","Soc_Spending","No","No","Yes","No","No","continuous","IncDiff","Low","Highest","Low","High","High","High","Mid","Mid","Mid"
NA,NA,NA,"OldAge",NA,NA,NA,NA,"Flow",NA,"main_IV_as_control","mlm_any",NA,NA,"level_country",NA,NA,NA,NA,NA,NA,"listwise",NA,NA,NA,"ml_glm",NA,NA,NA,NA,NA,NA,NA,"spss",NA,NA,NA,NA,NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,NA,NA,NA,"FR","DE",NA,NA,NA,"IE",NA,NA,"JP",NA,NA,NA,NA,"NZ","NO",NA,NA,NA,NA,NA,NA,"ES","SE","CH","UK","US",NA,NA,NA,NA,NA,"orig13",NA,NA,NA,NA,NA,"socx_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t33m19",33,421,-0.13494,-1.30949,1.03961,1.17455,-0.22518,0.82184,"OldAge","Flow",NA,"cri_macro","Immigrant, foreign-born","1-year","Total","mixed",20,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,-0.0236400688261907,-0.229408875998285,0.182128738345903,"Reject",0,1,0,"Reject",0,0,13,"Flow","ml_glm","SPSS","Soc_Spending","No","No","Yes","No","No","continuous","OldAge","Low","Highest","Low","High","High","High","Mid","Mid","Mid"
NA,"Unemp",NA,NA,NA,NA,NA,"Stock",NA,NA,"main_IV_as_control","mlm_any",NA,NA,"level_country",NA,NA,NA,NA,NA,NA,"listwise",NA,NA,NA,"ml_glm",NA,NA,NA,NA,NA,NA,NA,"spss",NA,NA,NA,NA,NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,NA,NA,NA,"FR","DE",NA,NA,NA,"IE",NA,NA,"JP",NA,NA,NA,NA,"NZ","NO",NA,NA,NA,NA,NA,NA,"ES","SE","CH","UK","US",NA,NA,NA,NA,NA,"orig13",NA,NA,NA,NA,"emplrate_ivC","socx_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t33m2",33,404,-0.01627,-0.03989,0.00735,0.02362,-1.35021,0.17695,"Unemp","Stock",NA,"cri_macro","Immigrant, foreign-born","current","Total","mixed",20,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,-0.01627,-0.03989,0.00735,"Reject",0,1,0,"Reject",0,0,13,"Stock","ml_glm","SPSS","Soc_Spending","No","No","Yes","No","No","continuous","Unemp","Low","Highest","Low","High","High","High","Mid","Mid","Mid"
"Jobs","Unemp","IncDiff","OldAge",NA,NA,"Scale",NA,"Flow",NA,"main_IV_as_control","mlm_any",NA,NA,"level_country",NA,NA,NA,NA,NA,NA,"listwise",NA,NA,NA,"ml_glm",NA,NA,NA,NA,NA,NA,NA,"spss",NA,NA,"mmodel",NA,NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,NA,NA,NA,"FR","DE",NA,NA,NA,"IE",NA,NA,"JP",NA,NA,NA,NA,"NZ","NO",NA,NA,NA,NA,NA,NA,"ES","SE","CH","UK","US",NA,NA,NA,NA,NA,"orig13",NA,NA,NA,NA,NA,"socx_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t33m20",33,422,-0.61016,-1.77162,0.5513,1.16146,-1.02967,0.30316,"Scale_4","Flow",NA,"cri_macro","Immigrant, foreign-born","1-year","Total","mixed",20,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,-0.106893614902835,-0.310369191743412,0.0965819619377424,"Reject",0,1,0,"Reject",0,0,13,"Flow","ml_glm","SPSS","Soc_Spending","No","No","Yes","No","No","continuous","Scale","Low","Highest","Low","High","High","High","Mid","Mid","Mid"
