"","id","u_teamid","dv_type","iv_type","software","indepv","mator","dichotomize","twowayfe","cluster_any","Jobs","Unemp","IncDiff","OldAge","House","Health","Scale","w1985","w1990","w1996","w2006","w2016","p","AME_Z","lower_Z","upper_Z","eeurope","allavailable","mlm_any","Hresult","orig13","BELIEF_HYPOTHESIS","PRO_IMMIGRANT","TOPIC_KNOWLEDGE","STATISTICS_SKILL","MODEL_SCORE","main_IV_measurement","emplrate_ivC","socx_ivC","unemprate_ivC","gdp_ivC","degree","SURVEY_WAVES","COUNTRIES","est","lb","ub","belief_ipred","pro_immigrant","topic_ipred","stats_ipred","total_score","count","sig_group","est_sig","est_ns","sig_group2","est_ns_scl","est_sig_scl","ci","ub_order","count2","est2","belief_ipredm","pro_immigrantm","topic_ipredm","stats_ipredm","total_scorem","belief_roll","pro_roll","topic_roll","stats_roll","total_roll","belief_roll2","pro_roll2","topic_roll2","stats_roll2","total_roll2","DV_Jobs","DV_Unemp","DV_IncDiff","DV_OldAge","DV_House","DV_Health","DV_Scale","Test_Stock","Test_Flow","Test_ChangeFlow","M_Gross","M_Net","W_Other","W_96_06","W_96_06_16","W_06_16","C_13","C_Other","C_All","C_CEE","IV_Emp","IV_GDP","IV_Socx","IV_None","Est_ols","Est_logit","Est_mlglm","Est_ologit","Est_bayes"
"478","t47m3",47,"IncDiff","Stock","Stata","Soc_Spending","logit","dichotomous","Yes","No",NA,NA,"IncDiff",NA,NA,NA,NA,"Other","Other","w1996","w2006","Other",1e-05,-0.06366,-0.08848,-0.03884,"Other","Other",NA,"Reject","Other","Mid","Low","Mid","Low","Low","Immigrant, foreign-born","emplrate_ivC","socx_ivC",NA,NA,1,"1996 & 2006","Other",-0.06366,-0.08848,-0.03884,0.00189831800152059,2,-0.208818646060621,-1.35296564831597,0.28640587,35,"1",-0.06366,NA,"1",NA,-1.0270495049505,-0.03884,0,11,-0.06366,0.129287023889791,-2.17022239248708,-0.558649036094272,-3.13218330935829,-1.40525798946608,0.243656476113251,-0.168310301270634,-0.0638817512597724,-0.00350210237853889,0.104320186234864,-0.515449009182357,0.0475606678437615,0.00588920252146623,-0.228084529348723,-0.421902533987071,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
"971","t7m7",7,"Unemp","Flow","Stata","Unemp_Rate","ml_glm","continuous","Yes","No",NA,"Unemp",NA,NA,NA,NA,NA,"w1985","w1990","w1996","w2006","w2016",0.00054,-0.0851882010555552,-0.133449019596467,-0.0369273825146438,"Other","Other","mlm_any","Support","Other","Mid","Mid","Mid","Mid","High","Net Migration",NA,NA,"unemprate_ivC",NA,4,"Other","Other",-0.085188,-0.133449,-0.036927,0.200064449161058,4,-0.106016345388718,0.0416933496085964,0.55413203,28,"1",-0.085188,NA,"1",NA,-1.06967920792079,-0.036927,0,12,-0.085188,0.584460612039613,-0.408148180169424,-0.229526711115218,0.175781170104486,0.936831359513429,0.207677188121106,0.135158035295185,0.139652171303343,0.139687348057526,0.0336962702113369,-0.515449009182357,0.0475606678437615,0.00588920252146623,-0.228084529348723,-0.421902533987071,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"1011","t86m14",86,"Unemp","Stock","Stata","None","logit","dichotomous","Yes","No",NA,"Unemp",NA,NA,NA,NA,NA,"Other","Other","w1996","w2006","w2016",1e-05,-0.05061,-0.06479,-0.03644,"Other","Other",NA,"Support","Other","Mid","High","High","Mid","Low","Muslim-country Immigrant",NA,NA,NA,NA,3,"1996, 2006 & 2016","Other",-0.05061,-0.06479,-0.03644,0.212192617959643,5.5,0.0121719344736104,-0.0978912385625046,0.33212714,52,"1",-0.05061,NA,"1",NA,-1.00120792079208,-0.03644,0,13,-0.05061,0.612318158015996,0.913407479068815,0.148853939894824,-0.155296792492517,-1.0052847500605,0.270578478638173,-0.168310301270633,0.126117980429715,-0.0233094905190881,0.0974567123585758,-0.515449009182357,0.0475606678437615,0.00588920252146623,-0.228084529348723,-0.421902533987071,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"1051","t86m50",86,"Unemp","Stock","Stata","Emp_Rate","logit","dichotomous","Yes","No",NA,"Unemp",NA,NA,NA,NA,NA,"Other","Other","w1996","w2006","w2016",1e-05,-0.04843,-0.0627,-0.03416,"Other","Other",NA,"Support","Other","Mid","High","High","Mid","Low","Muslim-country Immigrant","emplrate_ivC",NA,NA,NA,3,"1996, 2006 & 2016","Other",-0.04843,-0.0627,-0.03416,0.212192617959643,5.5,0.0121719344736104,-0.0978912385625046,0.33212714,53,"1",-0.04843,NA,"1",NA,-0.9686,-0.03416,0,14,-0.04843,0.612318158015996,0.913407479068815,0.148853939894824,-0.155296792492517,-1.0052847500605,0.238393787863651,-0.168310301270633,0.220036018638736,0.00400711371799113,0.0538232666813003,-0.515449009182357,0.0475606678437615,0.00588920252146623,-0.228084529348723,-0.421902533987071,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"1034","t86m35",86,"House","Stock","Stata","Soc_Spending","logit","dichotomous","Yes","No",NA,NA,NA,NA,"House",NA,NA,"Other","Other","w1996","w2006","w2016",1e-05,-0.04739,-0.06364,-0.03114,"Other","Other",NA,"Support","Other","Mid","High","High","Mid","Low","Muslim-country Immigrant",NA,"socx_ivC",NA,NA,3,"1996, 2006 & 2016","Other",-0.04739,-0.06364,-0.03114,0.212192617959643,5.5,0.0121719344736104,-0.0978912385625046,0.33212714,55,"1",-0.04739,NA,"1",NA,-0.9478,-0.03114,0,15,-0.04739,0.612318158015996,0.913407479068815,0.148853939894824,-0.155296792492517,-1.0052847500605,0.29309067105091,-0.241730060117202,0.154321319646767,-0.154545245115277,0.132583300054056,0.293961351619966,0.0323703729099887,-0.00195799459975656,-0.214622339366949,-0.376611404203721,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"532","t52m29",52,"House","Flow","Stata","Emp_Rate","logit","dichotomous","Yes","No",NA,NA,NA,NA,"House",NA,NA,"Other","Other","w1996","w2006","w2016",3e-05,-0.0579844512119795,-0.0849937634359391,-0.0309768906782867,"Other","Other",NA,"Reject","Other","Mid","High","Mid","Low","Low","Western Immigrant","emplrate_ivC",NA,NA,NA,3,"1996, 2006 & 2016","Other",-0.057984,-0.084994,-0.030977,0.142389190085743,5.5,-0.0964760633671994,-0.325551066475158,0.33212714,42,"1",-0.057984,NA,"1",NA,-1.0158099009901,-0.030977,0,16,-0.057984,0.451984620975091,0.913407479068815,-0.198983427751363,-0.695278698647615,-1.0052847500605,0.369892043430434,-0.0753119400649796,-0.034557584115302,-0.2167253094914,0.0157854067654127,0.296890914853215,0.0519489752690738,0.0953686318116334,-0.138300953337343,-0.422312447635075,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"132","t20m1",20,"Scale","Stock","R","Soc_Spending","ols","continuous","Yes","No","Jobs","Unemp","IncDiff","OldAge","House","Health","Scale","Other","Other","w1996","w2006","w2016",1e-05,-0.037,-0.045,-0.03,"Other","Other",NA,"Reject","orig13","Mid","High","Mid","Mid","Low","Immigrant, foreign-born","emplrate_ivC","socx_ivC","unemprate_ivC","gdp_ivC",3,"1996, 2006 & 2016","13 Rich Democracies Only",-0.037,-0.045,-0.03,0.157587569088413,5,-0.152279021847462,0.153333030394201,0.276365118333333,75,"1",-0.037,NA,"1",NA,-0.74,-0.03,0,17,-0.037,0.486894222652367,0.472888925989402,-0.37763701153009,0.440577151836874,-1.4930952689245,0.233787759289253,-0.266203313066058,0.286086991354235,-0.134006816592685,0.216470739254463,0.312997674905075,0.0519489752690738,0.112460302686515,-0.121420392863305,-0.409360253684963,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0
"941","t75m1",75,"Jobs","Stock","Stata","Soc_Spending","logit","dichotomous","No","No","Jobs",NA,NA,NA,NA,NA,NA,"Other","Other","w1996","w2006","w2016",9e-05,-0.05738,-0.08616,-0.02861,"Other","Other","mlm_any","Reject","Other","Mid","Mid","Mid","Mid","Mid","Immigrant, foreign-born","emplrate_ivC","socx_ivC",NA,NA,1,"1996, 2006 & 2016","Other",-0.05738,-0.08616,-0.02861,0.137362732227885,3.33333333333333,-0.108185664129963,0.0867730506577218,0.48176039,43,"1",-0.05738,NA,"1",NA,-1.01461386138614,-0.02861,0,18,-0.05738,0.44043920276736,-0.995506250941978,-0.236471801089593,0.282704833908485,0.303718602761606,0.337707352655911,-0.0753119400649796,0.0593604540937193,-0.189408705254321,-0.0278480389118628,0.356957267665865,0.0813168788077013,0.113444578752745,-0.138993973621958,-0.40106134373974,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
"965","t7m10",7,"Scale","Flow","Stata","Unemp_Rate","ml_glm","continuous","Yes","No","Jobs","Unemp","IncDiff","OldAge",NA,NA,"Scale","w1985","w1990","w1996","w2006","w2016",7e-05,-0.0536157356865527,-0.0800452384321979,-0.0271844812506407,"Other","Other","mlm_any","Support","Other","Mid","Mid","Mid","Mid","High","Net Migration",NA,NA,"unemprate_ivC",NA,4,"Other","Other",-0.053616,-0.080045,-0.027184,0.200064449161058,4,-0.106016345388718,0.0416933496085964,0.55413203,45,"1",-0.053616,NA,"1",NA,-1.0071603960396,-0.027184,0,19,-0.053616,0.584460612039613,-0.408148180169424,-0.229526711115218,0.175781170104486,0.936831359513429,0.310274644992915,-0.0753119400649793,0.169335960779649,-0.290444622834239,0.00407971265692885,0.388304796051486,0.125368734115643,0.0641119916194969,-0.189431893608855,-0.381365691379582,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"246","t29m23",29,"IncDiff","Stock","Stata","Emp_Rate","logit","dichotomous","Yes","Yes",NA,NA,"IncDiff",NA,NA,NA,NA,"Other","Other","w1996","w2006","Other",1e-05,-0.03722,-0.04822,-0.02623,"Other","Other",NA,"Support","orig13","Mid","Mid","High","Mid","Low","Immigrant, foreign-born","emplrate_ivC",NA,NA,NA,1,"1996 & 2006","13 Rich Democracies Only",-0.03722,-0.04822,-0.02623,-0.221394314282198,4.5,0.0544596634266813,0.110231527784193,0.348084761666667,74,"1",-0.03722,NA,"1",NA,-0.7444,-0.02623,0,20,-0.03722,-0.383600360292799,0.0323703729099887,0.284238416508222,0.338345538333104,-0.865686229913852,0.233787759289253,-0.266203313066058,0.286086991354235,-0.134006816592685,0.216470739254463,0.355480825687295,0.0960008305770151,0.0513857743866277,-0.193841680711937,-0.414447257777661,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"902","t70m10",70,"Unemp","Stock","Mplus","Soc_Spending","ml_glm","continuous","No","No",NA,"Unemp",NA,NA,NA,NA,NA,"Other","Other","Other","w2006","Other",1e-05,-0.041,-0.057,-0.026,"Other","Other","mlm_any","Support","orig13","Mid","Mid","Mid","Low","Mid","Immigrant, foreign-born","emplrate_ivC","socx_ivC",NA,NA,2,"Other","13 Rich Democracies Only",-0.041,-0.057,-0.026,0.260799571396237,3.5,-0.0605945324347756,-0.940625132876923,0.466845966,66,"1",-0.041,NA,"1",NA,-0.82,-0.026,0,21,-0.041,0.723964892376238,-0.848666733248838,-0.0841084414222412,-2.15416088197959,0.173246057245081,0.150884095343555,-0.138942397732005,0.35931889553726,-0.0118663034313657,-0.140325363265637,0.384359487480837,0.0176864211406749,0.0492603324467808,-0.246801414660661,-0.378299942583393,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"916","t70m9",70,"Jobs","Stock","Mplus","Soc_Spending","ml_glm","continuous","No","No","Jobs",NA,NA,NA,NA,NA,NA,"Other","Other","Other","w2006","Other",1e-05,-0.04,-0.058,-0.023,"Other","Other","mlm_any","Support","orig13","Mid","Mid","Mid","Low","Mid","Immigrant, foreign-born","emplrate_ivC","socx_ivC",NA,NA,2,"Other","13 Rich Democracies Only",-0.04,-0.058,-0.023,0.260799571396237,3.5,-0.0605945324347756,-0.940625132876923,0.466845966,70,"1",-0.04,NA,"1",NA,-0.8,-0.023,0,22,-0.04,0.723964892376238,-0.848666733248838,-0.0841084414222412,-2.15416088197959,0.173246057245081,0.156704068688793,-0.373885626041026,0.312734689375834,-0.124958117597009,0.0299567719500658,0.365266169663206,0.0617382764486162,-0.0354048585156378,-0.336880858481694,-0.384859218277353,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"921","t72m2",72,"Unemp","Stock","Stata","None","logit","dichotomous","Yes","No",NA,"Unemp",NA,NA,NA,NA,NA,"Other","Other","w1996","w2006","Other",1e-05,-0.02693,-0.03106,-0.0228,"Other","Other",NA,"Reject","orig13","High","High","Mid","Mid","Low","Immigrant, foreign-born",NA,NA,NA,NA,3,"1996 & 2006","13 Rich Democracies Only",-0.02693,-0.03106,-0.0228,0.730379449397219,5.66666666666667,-0.0572294017717594,0.12475013214222,0.295721273333333,104,"1",-0.02693,NA,"1",NA,-0.5386,-0.0228,0,23,-0.02693,1.80255666152466,1.06024699676196,-0.0733349507471156,0.372781932877718,-1.32376611385539,0.660495260939857,0.100895481166786,0.0250561028975505,-0.186030500648592,0.462207126364629,0.37901503624614,0.0176864211406749,0.0376657535252412,-0.264800811532498,-0.378299942583393,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"581","t58m28",58,"OldAge","Flow","Stata","Soc_Spending","ologit","continuous","No","No",NA,NA,NA,"OldAge",NA,NA,NA,"Other","Other","Other","w2006","w2016",0.00013,-0.0460151516188596,-0.0696279364154726,-0.0224006151319798,"eeurope","allavailable","mlm_any","Support","Other","Mid","High","Mid","Low","High","Immigrant, foreign-born","emplrate_ivC","socx_ivC",NA,"gdp_ivC",3,"2006 & 2016","All Available (~26)",-0.046015,-0.069628,-0.022401,-0.11963297093648,4.66666666666667,-0.0630016888969909,-0.352616538536193,0.59900163,56,"1",-0.046015,NA,"1",NA,-0.9203,-0.022401,0,24,-0.046015,-0.149861751608319,0.179209890603129,-0.0918149706171582,-0.759474764016304,1.32935412326939,0.259977395410508,-0.285781915425143,0.235626669488787,-0.116192708791631,0.153687058029245,0.379399883519731,0.0813168788077013,0.0389153659698489,-0.297400262617701,-0.421933387677464,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0
"1012","t86m15",86,"IncDiff","Stock","Stata","None","logit","dichotomous","Yes","No",NA,NA,"IncDiff",NA,NA,NA,NA,"Other","Other","w1996","w2006","w2016",1e-05,-0.03603,-0.04969,-0.02236,"Other","Other",NA,"Support","Other","Mid","High","High","Mid","Low","Muslim-country Immigrant",NA,NA,NA,NA,3,"1996, 2006 & 2016","Other",-0.03603,-0.04969,-0.02236,0.212192617959643,5.5,0.0121719344736104,-0.0978912385625046,0.33212714,76,"1",-0.03603,NA,"1",NA,-0.7206,-0.02236,0,25,-0.03603,0.612318158015996,0.913407479068815,0.148853939894824,-0.155296792492517,-1.0052847500605,0.208579071010784,-0.246624710706973,0.276839203207214,-0.149293457651738,0.233106584610257,0.379731401415107,0.0274757223202176,0.0610772203988251,-0.249652916985606,-0.360688523711375,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"1052","t86m51",86,"IncDiff","Stock","Stata","Emp_Rate","logit","dichotomous","Yes","No",NA,NA,"IncDiff",NA,NA,NA,NA,"Other","Other","w1996","w2006","w2016",1e-05,-0.03598,-0.04973,-0.02223,"Other","Other",NA,"Support","Other","Mid","High","High","Mid","Low","Muslim-country Immigrant","emplrate_ivC",NA,NA,NA,3,"1996, 2006 & 2016","Other",-0.03598,-0.04973,-0.02223,0.212192617959643,5.5,0.0121719344736104,-0.0978912385625046,0.33212714,77,"1",-0.03598,NA,"1",NA,-0.7196,-0.02223,0,26,-0.03598,0.612318158015996,0.913407479068815,0.148853939894824,-0.155296792492517,-1.0052847500605,0.208021315689018,-0.315149818963771,0.271601997604732,-0.308147602306983,0.194028984511509,0.435903527041796,0.1155794329361,0.0616756965950579,-0.14622318648358,-0.301024065173159,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
